preprocessedTweets	Polarity	cleanTweet	sentiment_score
رائيونڈ ميں ہنگامي اجلاس شہباز شريف کے ليے بيڈ ترکي ميں بک کروايا جائے يا لندن ميں مشاورت جاري  ماڈل ٹاؤن رپورٹ	O	رائيونڈ ميں ہنگامي اجلاس شہباز شريف ليے بيڈ ترکي ميں بک کروايا يا لندن ميں مشاورت جاري ماڈل ٹاؤن رپورٹ	-2
سانحہ ماڈل ٹاؤن باقر نجفي رپورٹ  کے  خاص صفحے منظرعام پر آگئے	O	سانحہ ماڈل ٹاؤن باقر نجفي رپورٹ خاص صفحے منظرعام آگئے	-1
اسلام آباد جلسہ ميں پي پي کے جيالوں کے درميان کرسياں چل گئيں<+> متعدد زخمي  …	N	اسلام آباد جلسہ ميں پي پي جيالوں درميان کرسياں چل گئيں متعدد زخمي …	1
کيا اس رپورٹ کے کچھ حصے حذف تو نہيں کئے گئے؟	O	کيا رپورٹ کچھ حصے حذف نہيں گئے؟	-2
نوازشريف،مريم نوازاورکيپٹن ريٹائرڈصفدر کےخلاف نيب ريفرنسزکي سماعت	O	نوازشريف،مريم نوازاورکيپٹن ريٹائرڈصفدر کےخلاف نيب ريفرنسزکي سماعت	0
يہي تو آپ پي ٹي آئي والے سمجھ نہي سکتے<+><+><+> بھٹو کيا بي بي بھي سُن رہي ہيں اپنے لخت کو <+><+><+> فخر سے جنت ميں اِترا رہي ہ…	P	يہي آپ پي ٹي آئي سمجھ نہي سکتے بھٹو کيا بي بي بھي سُن رہي ہيں اپنے لخت فخر جنت ميں اِترا رہي ہ…	1
سہيل تنوير بھي کبھي وسيم اکرم ہوا کرتے تھے'	O	سہيل تنوير بھي کبھي وسيم اکرم تھے'	0
استعفي<+> نہ دينےسےپيغام جاتاہےحکومت اپنانظام چاہتي ہے،رياض پيرزادہ وفاقي وزيرکومفرورقراردياجاناحکومت کيلئےاچھانہيں، رياض پيرزادہ	N	استعفي نہ دينےسےپيغام جاتاہےحکومت اپنانظام چاہتي ہے،رياض پيرزادہ وفاقي وزيرکومفرورقراردياجاناحکومت کيلئےاچھانہيں، رياض پيرزادہ	0
يورپي يونين نےٹيکس کےمحفوظ پناہ گاہ کہلانےوالےممالک کي بليک لسٹ جاري کردي	P	يورپي يونين نےٹيکس کےمحفوظ پناہ گاہ کہلانےوالےممالک کي بليک لسٹ جاري کردي	1
سي پيک سے  ہزار پاکستاني ورکرز کو روزگار ملا، چيني قونصل جنرل	P	سي پيک ہزار پاکستاني ورکرز روزگار ملا، چيني قونصل جنرل	0
ستمبر   شام چھ بجے کا نيوز بُليٹن	O	ستمبر شام چھ بجے نيوز بُليٹن	0
يہ وہ پارٹي ہے جس نے سب سے پہلے عوام کو ووٹ کي اہميت کا شعور ديا اور عوام کو طاقت کا سرچشمہ قرار ديا ِ<+>	P	يہ پارٹي جس سب پہلے عوام ووٹ کي اہميت شعور ديا عوام طاقت سرچشمہ قرار ديا ِ	3
اکتوبر  رات   بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
پيپلزپارٹي کا قافلہ کاميابي سے منزل کي جانب رواں دواں رہا، بلاول بھٹو    …	P	پيپلزپارٹي قافلہ کاميابي منزل کي جانب رواں دواں رہا، بلاول بھٹو …	1
بےچارے صفدر کو ہي کيوں دبوچ ليا گيا ہے؟	O	بےچارے صفدر ہي کيوں دبوچ ليا گيا ہے؟	0
کراچيمحکمہ ريونيو کاملازم سرفرازشکارپورميں درج مقدمےميں مفرورتھا	N	کراچيمحکمہ ريونيو کاملازم سرفرازشکارپورميں درج مقدمےميں مفرورتھا	0
ميانمار نے روہنگيا باغيوں کي ’جنگ بندي‘ کي پيشکش مسترد کر دي	N	ميانمار روہنگيا باغيوں کي ’جنگ بندي‘ کي پيشکش مسترد دي	-2
ايل پي جي ڈسٹري بيوٹرز نے  دسمبر سے ہڑتال کي دھمکي ديدي	N	ايل پي جي ڈسٹري بيوٹرز دسمبر ہڑتال کي دھمکي ديدي	0
لندن دھماکہ حملہ آوروں کي تلاش کے ليے بڑے پيمانے پر کارروائي	P	لندن دھماکہ حملہ آوروں کي تلاش ليے بڑے پيمانے کارروائي	-4
اللہ پاک نے قصاص کا فيصلہ سنا ديا ہوا ہے  عدالتيں قاتلوں کو کيفر کردار تک پہنچانے کے ليے کرد…	O	اللہ پاک قصاص فيصلہ سنا ديا عدالتيں قاتلوں کيفر کردار پہنچانے ليے کرد…	1
يہ عوام کوئي فوٹو شاپڈ نہيں ہے پي ٹي آئي اور پي ايم اين ايل کے جلسوں کي طرح	N	يہ عوام کوئي فوٹو شاپڈ نہيں پي ٹي آئي پي ايم اين ايل جلسوں کي طرح	0
ايبٹ آباد نواز شريف کا جلسہ، طلبا ہاسٹل سے بے دخل  تفصيلات کے ليے لنک پر کلک کريں	N	ايبٹ آباد نواز شريف جلسہ، طلبا ہاسٹل بے دخل تفصيلات ليے لنک کلک کريں	0
شہباز شريف صاحب اب ميں اصلي رپورٹ نکلواوں گا آپ جانتے نہيں کہ ميں کہاں کہاں تک کے ڈاکومنٹس نکلوا سکتا ہو…	N	شہباز شريف صاحب ميں اصلي رپورٹ نکلواوں آپ جانتے نہيں ميں ڈاکومنٹس نکلوا سکتا ہو…	1
پشاور زرعي يونيورسٹي کےڈائريکٹوريٹ پردہشتگردوں کاحملہ‘  افراد زخمي  مزيد پڑھيں  …	N	پشاور زرعي يونيورسٹي کےڈائريکٹوريٹ پردہشتگردوں کاحملہ‘ زخمي مزيد پڑھيں …	0
کراچينيب کي جانب سے وصول رقم گورنر سندھ کے حوالے کي جائے گي ، ذرائع	P	کراچينيب کي جانب وصول رقم گورنر سندھ حوالے کي گي ، ذرائع	0
جب تحريک انصاف کي حکومت آئے گي تمام گونر ہاوس اور چيف منسٹر ہاوس سادگي اختيار کريں گے, عمران خان	P	جب تحريک انصاف کي حکومت گي تمام گونر ہاوس چيف منسٹر ہاوس سادگي اختيار کريں گے, عمران خان	1
پي پي جلسے کے فضائي مناظر <><+><+><><+><+>	O	پي پي جلسے فضائي مناظر	0
يہاں پر سہي طريقے سے جمہوريت آئ ہي نہيں ، عمران خان	N	يہاں سہي طريقے جمہوريت آئ ہي نہيں ، عمران خان	0
جاہل پٹواري بھول گئے ہيں ان کا مقابلہ ايک قانون دان سے ہے، پٹواريوں نے رپورٹ ميں ٹمپرنگ کي اور قادري صاحب نے پکڑ لي…	N	جاہل پٹواري بھول ہيں مقابلہ ايک قانون دان ہے، پٹواريوں رپورٹ ميں ٹمپرنگ کي قادري صاحب پکڑ لي…	-4
ہميں پانچ سال ملے، بينظير کے کيے وعدے ہم نے نبھائے ،آصف زرداري	P	ہميں پانچ سال ملے، بينظير کيے وعدے نبھائے ،آصف زرداري	0
پچاس ميں تيس سال پيپلزپارٹي نے نوازشريف کےساتھ لڑائي جگھڑےميں ہي گزارےآج بھي کارکن لڑہي رہےہيں	N	پچاس ميں تيس سال پيپلزپارٹي نوازشريف کےساتھ لڑائي جگھڑےميں ہي گزارےآج بھي کارکن لڑہي رہےہيں	0
پيپلز پارٹي کو چاہيے کہ گولڈن جوبلي کے ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي کا	N	پيپلز پارٹي چاہيے گولڈن جوبلي ساتھ ساتھ چاليسواں بھي منا ليتے پارٹي	0
قاتل حکومت نےمظلوموں اورمعصوم لوگوں کي جانيں لي ہيں،طاہرالقادري	N	قاتل حکومت نےمظلوموں اورمعصوم کي جانيں لي ہيں،طاہرالقادري	-2
’وردي والوں کو معاہدہ کا حصہ نہيں بننا چاہيے تھا‘	O	’وردي والوں معاہدہ حصہ نہيں بننا چاہيے تھا‘	2
ہم نہيں چاہتے کہ فيصلہ ديں تو کوئي کہتا پھرے کہ فيصلہ کيوں ديا،چيف جسٹس	O	نہيں چاہتے فيصلہ ديں کوئي کہتا پھرے فيصلہ کيوں ديا،چيف جسٹس	0
پيپلزپارٹي کا اسلام آباد جلسہ کامياب تھا يا فلاپ؟ ديکھئے پيپلزپارٹي کي  ويں سالگرہ کے جلسے کے فضائي مناظر …	O	پيپلزپارٹي اسلام آباد جلسہ کامياب يا فلاپ؟ ديکھئے پيپلزپارٹي کي ويں سالگرہ جلسے فضائي مناظر …	1
مصر ميں مسجد پر حملہ، جاں بحق افراد کي تعداد  ہوگئي	N	مصر ميں مسجد حملہ، جاں بحق کي تعداد ہوگئي	0
ايم کيوايم پاکستان يا پي ايس پي کي سربراہي کي باتيں احمقانہ ہيں، پرويز مشرف  مزيد پڑھيں	N	ايم کيوايم پاکستان يا پي ايس پي کي سربراہي کي باتيں احمقانہ ہيں، پرويز مشرف مزيد پڑھيں	-1
اکتوبر  رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
يہ عوام کوئي فوٹو شاپڈ نہيں ہے پي ٹي آئي اور پي ايم اين ايل کے جلسوں کي طرح	N	يہ عوام کوئي فوٹو شاپڈ نہيں پي ٹي آئي پي ايم اين ايل جلسوں کي طرح	0
اکتوبر   شام چھ بجے کا نيوز بُليٹن	O	اکتوبر شام چھ بجے نيوز بُليٹن	0
اس<+>م آباد  بھارت سن لے کہ کشم<+>ر ہمار<+> شہ رگ ہے پاکستان کو تنہا بھ<+> لڑنا پڑا تو کشم<+>ر پر لڑے گا  سابق صدر آصف عل<+>…	P	اسم آباد بھارت سن کشمر ہمار شہ رگ پاکستان تنہا بھ لڑنا پڑا کشمر لڑے سابق صدر آصف عل…	-3
حکومت نےباقرنجفي کميشن رپورٹ ميں تبديلي کي ،طاہرالقادري	N	حکومت نےباقرنجفي کميشن رپورٹ ميں تبديلي کي ،طاہرالقادري	0
